Campaign_ID,Campaign_Name,Start_Date,End_Date,Campaign_Budget,Leads_Generated
5000,damp-base-3572,2023-12-21T08:36:57+00:00,2023-12-21T08:36:57+00:00,41642.99,165
5001,autumn-frost-7069,2023-11-04T16:56:22+00:00,2023-11-04T16:56:22+00:00,38456.30,38
5002,square-sea-8147,2024-09-04T09:21:37+00:00,2024-09-04T09:21:37+00:00,59268.06,870
5003,curly-queen-1231,2024-08-06T18:56:33+00:00,2024-08-06T18:56:33+00:00,57314.46,792
5004,muddy-coke-8536,2024-10-12T23:48:35+00:00,2024-10-12T23:48:35+00:00,61904.82,976
5005,free-mud-3430,2024-02-13T07:36:31+00:00,2024-02-13T07:36:31+00:00,45328.65,313
5006,spring-hall-6975,2023-11-25T03:01:30+00:00,2023-11-25T03:01:30+00:00,39851.13,94
5007,little-hat-3783,2024-06-25T19:11:57+00:00,2024-06-25T19:11:57+00:00,54446.34,677
5008,nameless-hall-7290,2024-04-22T11:59:33+00:00,2024-04-22T11:59:33+00:00,50054.24,502
5009,purple-fog-9250,2024-03-14T20:33:07+00:00,2024-03-14T20:33:07+00:00,47414.67,396
5010,hushy-cloud-4119,2024-07-15T09:29:54+00:00,2024-07-15T09:29:54+00:00,55784.85,731
5011,muddy-waterfall-8892,2024-01-09T14:47:57+00:00,2024-01-09T14:47:57+00:00,42958.41,218
5012,shrill-limit-1881,2023-12-26T21:07:44+00:00,2023-12-26T21:07:44+00:00,42020.14,180
5013,empty-cell-3006,2023-10-30T08:34:44+00:00,2023-10-30T08:34:44+00:00,38090.98,23
5014,soft-fashion-7621,2024-06-15T08:57:19+00:00,2024-06-15T08:57:19+00:00,53734.12,649
5015,dry-heart-2574,2024-02-19T19:09:39+00:00,2024-02-19T19:09:39+00:00,45771.37,330
5016,cool-glitter-5711,2024-07-23T16:11:09+00:00,2024-07-23T16:11:09+00:00,56350.33,754
5017,twilight-poetry-2721,2023-11-10T05:51:01+00:00,2023-11-10T05:51:01+00:00,38834.58,53
5018,bitter-queen-2701,2024-05-30T10:57:35+00:00,2024-05-30T10:57:35+00:00,52646.93,605
5019,calm-dawn-9952,2024-09-15T20:25:47+00:00,2024-09-15T20:25:47+00:00,60050.93,902
5020,solitary-hill-7423,2024-08-11T09:01:59+00:00,2024-08-11T09:01:59+00:00,57627.79,805
5021,odd-firefly-2356,2024-07-06T00:07:56+00:00,2024-07-06T00:07:56+00:00,55143.44,705
5022,gentle-moon-2793,2024-08-31T02:06:02+00:00,2024-08-31T02:06:02+00:00,59145.75,865
5023,summer-fog-0630,2023-12-12T03:51:06+00:00,2023-12-12T03:51:06+00:00,58974.18,858
5024,yellow-fog-1003,2024-02-03T16:48:02+00:00,2024-02-03T16:48:02+00:00,41014.68,140
5025,delicate-toast-2709,2024-03-27T16:59:26+00:00,2024-03-27T16:59:26+00:00,44671.75,286
5026,holy-surf-4860,2024-06-26T04:37:25+00:00,2024-06-26T04:37:25+00:00,48292.51,431
5027,shinny-glade-5086,2024-07-18T04:46:50+00:00,2024-07-18T04:46:50+00:00,54473.16,678
5028,fragrant-firefly-4547,2023-12-17T03:21:05+00:00,2023-12-17T03:21:05+00:00,55976.34,739
5029,rapid-firefly-6148,2024-06-07T11:29:49+00:00,2024-06-07T11:29:49+00:00,41354.79,154
5030,flat-dust-0596,2023-12-26T12:15:26+00:00,2023-12-26T12:15:26+00:00,53194.91,627
5031,billowing-truth-8285,2023-12-11T21:14:09+00:00,2023-12-11T21:14:09+00:00,41994.89,179
5032,sweet-dew-4839,2024-01-03T09:59:49+00:00,2024-01-03T09:59:49+00:00,40995.85,139
5033,quiet-waterfall-9747,2024-09-11T03:56:41+00:00,2024-09-11T03:56:41+00:00,42534.90,201
5034,withered-brook-9481,2024-02-12T22:17:12+00:00,2024-02-12T22:17:12+00:00,59730.79,889
5035,sweet-snow-4231,2023-12-14T16:31:20+00:00,2023-12-14T16:31:20+00:00,45302.12,312
5036,frosty-shadow-1565,2024-04-16T11:23:57+00:00,2024-04-16T11:23:57+00:00,41187.35,147
5037,empty-dawn-2020,2023-12-23T11:07:53+00:00,2023-12-23T11:07:53+00:00,49642.72,485
5038,little-tree-5504,2024-09-13T11:23:47+00:00,2024-09-13T11:23:47+00:00,41786.77,171
5039,purple-lake-3248,2024-10-19T07:11:37+00:00,2024-10-19T07:11:37+00:00,59888.61,895
5040,wandering-breeze-6263,2024-01-26T02:49:54+00:00,2024-01-26T02:49:54+00:00,62335.67,993
5041,restless-meadow-1754,2024-08-12T22:49:53+00:00,2024-08-12T22:49:53+00:00,44085.55,263
5042,jolly-poetry-5288,2024-01-28T22:45:29+00:00,2024-01-28T22:45:29+00:00,57735.37,809
5043,frosty-voice-4547,2024-05-16T16:33:49+00:00,2024-05-16T16:33:49+00:00,44278.87,271
5044,red-boat-5420,2024-02-02T07:29:17+00:00,2024-02-02T07:29:17+00:00,51706.60,568
5045,morning-credit-3706,2023-12-24T09:27:11+00:00,2023-12-24T09:27:11+00:00,44576.94,283
5046,weathered-paper-1358,2024-06-21T12:20:02+00:00,2024-06-21T12:20:02+00:00,41850.30,174
